Origin,Year,Import,Type
China,2013,355.6945,Alumunium
China,2014,530.1016,Alumunium
China,2015,410.8434,Alumunium
China,2016,389.1045,Alumunium
China,2017,597.8323,Alumunium
United States,2013,274.8115,Alumunium
United States,2014,174.1966,Alumunium
United States,2015,110.3814,Alumunium
United States,2016,113.9087,Alumunium
United States,2017,145.9519,Alumunium
Turki,2013,103.4937,Alumunium
Turki,2014,114.1909,Alumunium
Turki,2015,83.9307,Alumunium
Turki,2016,98.8995,Alumunium
Turki,2017,110.5287,Alumunium
Brazil,2013,109.3337,Alumunium
Brazil,2014,86.3761,Alumunium
Brazil,2015,96.4183,Alumunium
Brazil,2016,97.6484,Alumunium
Brazil,2017,112.5304,Alumunium
Zimbabwe,2013,129.6232,Alumunium
Zimbabwe,2014,109.3021,Alumunium
Zimbabwe,2015,83.3562,Alumunium
Zimbabwe,2016,96.8089,Alumunium
Zimbabwe,2017,100.73,Alumunium
India,2013,60.1671,Alumunium
India,2014,58.843,Alumunium
India,2015,57.5092,Alumunium
India,2016,75.1033,Alumunium
India,2017,86.131,Alumunium
Srilanka,2013,107.8774,Alumunium
Srilanka,2014,77.9556,Alumunium
Srilanka,2015,59.3852,Alumunium
Srilanka,2016,64.3474,Alumunium
Srilanka,2017,74.8216,Alumunium
Italy ,2013,24.2219,Alumunium
Italy ,2014,34.7943,Alumunium
Italy ,2015,43.0022,Alumunium
Italy ,2016,62.3231,Alumunium
Italy ,2017,76.0296,Alumunium
Hongkong,2013,99.1345,Alumunium
Hongkong,2014,95.0603,Alumunium
Hongkong,2015,86.9596,Alumunium
Hongkong,2016,62.0695,Alumunium
Hongkong,2017,63.8601,Alumunium
Greece,2013,47.0928,Alumunium
Greece,2014,43.3965,Alumunium
Greece,2015,56.8088,Alumunium
Greece,2016,57.143,Alumunium
Greece,2017,43.3998,Alumunium
Others,2013,466.0151,Alumunium
Others,2014,332.1676,Alumunium
Others,2015,380.2195,Alumunium
Others,2016,302.8489,Alumunium
Others,2017,462.6377,Alumunium
Vietnam,2000,0,Cement
Vietnam,2001,0,Cement
Vietnam,2002,0,Cement
Vietnam,2003,0,Cement
Vietnam,2004,0,Cement
Vietnam,2005,0,Cement
Vietnam,2006,0,Cement
Vietnam,2007,0.188,Cement
Vietnam,2008,0,Cement
Vietnam,2009,0,Cement
Vietnam,2010,0,Cement
Vietnam,2011,24.3552,Cement
Vietnam,2012,94.5179,Cement
Vietnam,2013,167.6408,Cement
Vietnam,2014,173.3099,Cement
Vietnam,2015,104.2109,Cement
Vietnam,2016,18.9518,Cement
Vietnam,2017,0,Cement
Vietnam,2018,0.0002,Cement
China,2000,0.155,Cement
China,2001,0.1201,Cement
China,2002,0.7936,Cement
China,2003,0.7763,Cement
China,2004,1.0273,Cement
China,2005,1.3352,Cement
China,2006,1.1468,Cement
China,2007,2.1348,Cement
China,2008,2.6624,Cement
China,2009,1.6081,Cement
China,2010,16.7992,Cement
China,2011,2.266,Cement
China,2012,3.1727,Cement
China,2013,6.1408,Cement
China,2014,4.0765,Cement
China,2015,11.2643,Cement
China,2016,10.7054,Cement
China,2017,0.1506,Cement
China,2018,0.6916,Cement
Thailand,2000,0,Cement
Thailand,2001,0,Cement
Thailand,2002,0,Cement
Thailand,2003,0,Cement
Thailand,2004,0,Cement
Thailand,2005,0,Cement
Thailand,2006,0.0003,Cement
Thailand,2007,0,Cement
Thailand,2008,1.402,Cement
Thailand,2009,0.9494,Cement
Thailand,2010,4.0843,Cement
Thailand,2011,7.7366,Cement
Thailand,2012,46.6509,Cement
Thailand,2013,0.0011,Cement
Thailand,2014,34.5025,Cement
Thailand,2015,58.846,Cement
Thailand,2016,7.8025,Cement
Thailand,2017,0.0004,Cement
Thailand,2018,0.0003,Cement
"Korea, Republic of",2000,0.1757,Cement
"Korea, Republic of",2001,0.1483,Cement
"Korea, Republic of",2002,0.0747,Cement
"Korea, Republic of",2003,0.0733,Cement
"Korea, Republic of",2004,0.2944,Cement
"Korea, Republic of",2005,0.0976,Cement
"Korea, Republic of",2006,0,Cement
"Korea, Republic of",2007,0.0464,Cement
"Korea, Republic of",2008,0.093,Cement
"Korea, Republic of",2009,0.1297,Cement
"Korea, Republic of",2010,0.1006,Cement
"Korea, Republic of",2011,10.5242,Cement
"Korea, Republic of",2012,8.0123,Cement
"Korea, Republic of",2013,10.4244,Cement
"Korea, Republic of",2014,9.8368,Cement
"Korea, Republic of",2015,3.5335,Cement
"Korea, Republic of",2016,1.2723,Cement
"Korea, Republic of",2017,0.0198,Cement
"Korea, Republic of",2018,0,Cement
France,2000,0.78,Cement
France,2001,0.5802,Cement
France,2002,0.4112,Cement
France,2003,0.3655,Cement
France,2004,0.4956,Cement
France,2005,0.5141,Cement
France,2006,0.4561,Cement
France,2007,0.4833,Cement
France,2008,0.7604,Cement
France,2009,0.3587,Cement
France,2010,0.8002,Cement
France,2011,1.2654,Cement
France,2012,1.2959,Cement
France,2013,0.6412,Cement
France,2014,0.1478,Cement
France,2015,0.3531,Cement
France,2016,0.4914,Cement
France,2017,0.7634,Cement
France,2018,0.7497,Cement
Taiwan,2000,0,Cement
Taiwan,2001,0,Cement
Taiwan,2002,0,Cement
Taiwan,2003,0,Cement
Taiwan,2004,0,Cement
Taiwan,2005,0,Cement
Taiwan,2006,0.0335,Cement
Taiwan,2007,0.0096,Cement
Taiwan,2008,0.0133,Cement
Taiwan,2009,2.156,Cement
Taiwan,2010,8.337,Cement
Taiwan,2011,14.1482,Cement
Taiwan,2012,23.7499,Cement
Taiwan,2013,31.5947,Cement
Taiwan,2014,3.2867,Cement
Taiwan,2015,0.1151,Cement
Taiwan,2016,0.0545,Cement
Taiwan,2017,0.0002,Cement
Taiwan,2018,0.0013,Cement
Malaysia,2000,0.006,Cement
Malaysia,2001,0.4592,Cement
Malaysia,2002,2.1429,Cement
Malaysia,2003,0.7812,Cement
Malaysia,2004,1.7885,Cement
Malaysia,2005,27.4708,Cement
Malaysia,2006,42.4548,Cement
Malaysia,2007,43.4268,Cement
Malaysia,2008,45.8657,Cement
Malaysia,2009,68.6195,Cement
Malaysia,2010,47.3427,Cement
Malaysia,2011,33.3075,Cement
Malaysia,2012,31.6841,Cement
Malaysia,2013,24.867,Cement
Malaysia,2014,16.755,Cement
Malaysia,2015,3.2902,Cement
Malaysia,2016,0,Cement
Malaysia,2017,0.2606,Cement
Malaysia,2018,0.0012,Cement
Netherlands,2000,0.052,Cement
Netherlands,2001,0.0467,Cement
Netherlands,2002,0.2196,Cement
Netherlands,2003,0.2674,Cement
Netherlands,2004,0.3359,Cement
Netherlands,2005,0.5041,Cement
Netherlands,2006,0.3686,Cement
Netherlands,2007,0.4007,Cement
Netherlands,2008,0.8896,Cement
Netherlands,2009,0.1222,Cement
Netherlands,2010,0.7084,Cement
Netherlands,2011,1.0532,Cement
Netherlands,2012,0.6732,Cement
Netherlands,2013,0.5801,Cement
Netherlands,2014,0.0539,Cement
Netherlands,2015,0,Cement
Netherlands,2016,0,Cement
Netherlands,2017,0,Cement
Netherlands,2018,0.001,Cement
Croatia,2000,0,Cement
Croatia,2001,0,Cement
Croatia,2002,0,Cement
Croatia,2003,0,Cement
Croatia,2004,0,Cement
Croatia,2005,0,Cement
Croatia,2006,0.1273,Cement
Croatia,2007,0.0869,Cement
Croatia,2008,0.1002,Cement
Croatia,2009,0.2103,Cement
Croatia,2010,0.1976,Cement
Croatia,2011,0.2165,Cement
Croatia,2012,0.1584,Cement
Croatia,2013,0.2579,Cement
Croatia,2014,0,Cement
Croatia,2015,0,Cement
Croatia,2016,0,Cement
Croatia,2017,0,Cement
Croatia,2018,0,Cement
Switzerland,2000,0,Cement
Switzerland,2001,0,Cement
Switzerland,2002,0,Cement
Switzerland,2003,0,Cement
Switzerland,2004,0,Cement
Switzerland,2005,0,Cement
Switzerland,2006,0,Cement
Switzerland,2007,0.1867,Cement
Switzerland,2008,0.5579,Cement
Switzerland,2009,0.0971,Cement
Switzerland,2010,0,Cement
Switzerland,2011,1.2378,Cement
Switzerland,2012,0,Cement
Switzerland,2013,0,Cement
Switzerland,2014,0,Cement
Switzerland,2015,0,Cement
Switzerland,2016,0,Cement
Switzerland,2017,0,Cement
Switzerland,2018,0,Cement
Singapore ,2000,0.6304,Cement
Singapore ,2001,0.1444,Cement
Singapore ,2002,0.2778,Cement
Singapore ,2003,0.1698,Cement
Singapore ,2004,0.5699,Cement
Singapore ,2005,0.4503,Cement
Singapore ,2006,0,Cement
Singapore ,2007,0,Cement
Singapore ,2008,0,Cement
Singapore ,2009,0,Cement
Singapore ,2010,0,Cement
Singapore ,2011,0,Cement
Singapore ,2012,0,Cement
Singapore ,2013,0,Cement
Singapore ,2014,0,Cement
Singapore ,2015,0,Cement
Singapore ,2016,0,Cement
Singapore ,2017,0,Cement
Singapore ,2018,0,Cement
United States ,2000,0.2344,Cement
United States ,2001,0.0849,Cement
United States ,2002,0.2197,Cement
United States ,2003,0.1294,Cement
United States ,2004,0.123,Cement
United States ,2005,0.2482,Cement
United States ,2006,0,Cement
United States ,2007,0,Cement
United States ,2008,0,Cement
United States ,2009,0,Cement
United States ,2010,0,Cement
United States ,2011,0,Cement
United States ,2012,0,Cement
United States ,2013,0,Cement
United States ,2014,0,Cement
United States ,2015,0,Cement
United States ,2016,0,Cement
United States ,2017,0,Cement
United States ,2018,0,Cement
United Arab Emirates ,2000,0,Cement
United Arab Emirates ,2001,0,Cement
United Arab Emirates ,2002,0.0404,Cement
United Arab Emirates ,2003,0.4511,Cement
United Arab Emirates ,2004,0.7404,Cement
United Arab Emirates ,2005,0.1609,Cement
United Arab Emirates ,2006,0,Cement
United Arab Emirates ,2007,0,Cement
United Arab Emirates ,2008,0,Cement
United Arab Emirates ,2009,0,Cement
United Arab Emirates ,2010,0,Cement
United Arab Emirates ,2011,0,Cement
United Arab Emirates ,2012,0,Cement
United Arab Emirates ,2013,0,Cement
United Arab Emirates ,2014,0,Cement
United Arab Emirates ,2015,0,Cement
United Arab Emirates ,2016,0,Cement
United Arab Emirates ,2017,0,Cement
United Arab Emirates ,2018,0,Cement
Australia ,2000,0.0986,Cement
Australia ,2001,0.0704,Cement
Australia ,2002,0.0682,Cement
Australia ,2003,0.1934,Cement
Australia ,2004,0.0958,Cement
Australia ,2005,0.1314,Cement
Australia ,2006,0,Cement
Australia ,2007,0,Cement
Australia ,2008,0,Cement
Australia ,2009,0,Cement
Australia ,2010,0,Cement
Australia ,2011,0,Cement
Australia ,2012,0,Cement
Australia ,2013,0,Cement
Australia ,2014,0,Cement
Australia ,2015,0,Cement
Australia ,2016,0,Cement
Australia ,2017,0,Cement
Australia ,2018,0,Cement
Italy ,2000,0.0003,Cement
Italy ,2001,0,Cement
Italy ,2002,0.057,Cement
Italy ,2003,0.4799,Cement
Italy ,2004,0.0697,Cement
Italy ,2005,0.8556,Cement
Italy ,2006,0,Cement
Italy ,2007,0,Cement
Italy ,2008,0,Cement
Italy ,2009,0,Cement
Italy ,2010,0,Cement
Italy ,2011,0,Cement
Italy ,2012,0,Cement
Italy ,2013,0,Cement
Italy ,2014,0,Cement
Italy ,2015,0,Cement
Italy ,2016,0,Cement
Italy ,2017,0,Cement
Italy ,2018,0,Cement
Others,2000,0.494,Cement
Others,2001,0.8538,Cement
Others,2002,1.2191,Cement
Others,2003,0.6735,Cement
Others,2004,0.6985,Cement
Others,2005,4.7244,Cement
Others,2006,2.5808,Cement
Others,2007,0.9661,Cement
Others,2008,3.0825,Cement
Others,2009,0.6932,Cement
Others,2010,3.3856,Cement
Others,2011,1.1202,Cement
Others,2012,3.2558,Cement
Others,2013,12.9198,Cement
Others,2014,7.6259,Cement
Others,2015,3.8501,Cement
Others,2016,0.1924,Cement
Others,2017,3.5603,Cement
Others,2018,2.0764,Cement
Japan ,2010,445.9529,Copper
Japan ,2011,393.5554,Copper
Japan ,2012,494.5814,Copper
Japan ,2013,479.1419,Copper
Japan ,2014,437.2987,Copper
Japan ,2015,289.3127,Copper
Japan ,2016,237.8044,Copper
Japan ,2017,266.3264,Copper
China ,2010,61.4375,Copper
China ,2011,84.4465,Copper
China ,2012,96.1306,Copper
China ,2013,116.1262,Copper
China ,2014,180.3784,Copper
China ,2015,125.5477,Copper
China ,2016,171.8976,Copper
China ,2017,338.3331,Copper
Australia,2010,144.8621,Copper
Australia,2011,229.4173,Copper
Australia,2012,256.4194,Copper
Australia,2013,74.8062,Copper
Australia,2014,113.6638,Copper
Australia,2015,121.384,Copper
Australia,2016,155.7337,Copper
Australia,2017,42.2249,Copper
Myanmar,2010,0.0002,Copper
Myanmar,2011,0,Copper
Myanmar,2012,4.0736,Copper
Myanmar,2013,12.885,Copper
Myanmar,2014,47.8233,Copper
Myanmar,2015,113.6972,Copper
Myanmar,2016,78.3046,Copper
Myanmar,2017,50.6055,Copper
"Korea, Rep of ",2010,85.2919,Copper
"Korea, Rep of ",2011,70.8197,Copper
"Korea, Rep of ",2012,73.6966,Copper
"Korea, Rep of ",2013,117.774,Copper
"Korea, Rep of ",2014,102.8982,Copper
"Korea, Rep of ",2015,105.762,Copper
"Korea, Rep of ",2016,68.9579,Copper
"Korea, Rep of ",2017,88.1482,Copper
Chile,2010,1.0503,Copper
Chile,2011,94.49,Copper
Chile,2012,72.0149,Copper
Chile,2013,49.7786,Copper
Chile,2014,121.4148,Copper
Chile,2015,99.0218,Copper
Chile,2016,57.7137,Copper
Chile,2017,5.7925,Copper
Malaysia ,2010,75.1619,Copper
Malaysia ,2011,78.3714,Copper
Malaysia ,2012,88.0798,Copper
Malaysia ,2013,77.261,Copper
Malaysia ,2014,75.9596,Copper
Malaysia ,2015,77.4848,Copper
Malaysia ,2016,54.5718,Copper
Malaysia ,2017,54.3106,Copper
Singapore ,2010,45.8668,Copper
Singapore ,2011,74.12,Copper
Singapore ,2012,122.3627,Copper
Singapore ,2013,44.3335,Copper
Singapore ,2014,46.2621,Copper
Singapore ,2015,70.2692,Copper
Singapore ,2016,54.2155,Copper
Singapore ,2017,50.1942,Copper
Philippines,2010,44.0274,Copper
Philippines,2011,32.9649,Copper
Philippines,2012,18.0465,Copper
Philippines,2013,47.6604,Copper
Philippines,2014,14.5576,Copper
Philippines,2015,65.3651,Copper
Philippines,2016,21.2826,Copper
Philippines,2017,146.7879,Copper
Thailand,2010,69.4883,Copper
Thailand,2011,115.3891,Copper
Thailand,2012,64.488,Copper
Thailand,2013,70.9572,Copper
Thailand,2014,70.7329,Copper
Thailand,2015,64.2991,Copper
Thailand,2016,23.7043,Copper
Thailand,2017,106.9897,Copper
Others,2010,163.9322,Copper
Others,2011,202.0561,Copper
Others,2012,246.1455,Copper
Others,2013,215.2279,Copper
Others,2014,162.3933,Copper
Others,2015,154.0865,Copper
Others,2016,203.3934,Copper
Others,2017,249.8568,Copper
China,2000,29,Fertilizer
China,2001,24.7,Fertilizer
China,2002,39.3,Fertilizer
China,2003,24.6,Fertilizer
China,2004,57.3,Fertilizer
China,2005,79.4,Fertilizer
China,2006,115,Fertilizer
China,2007,106.5,Fertilizer
China,2008,323.2,Fertilizer
China,2009,110.5,Fertilizer
China,2010,162.4,Fertilizer
China,2011,394.3,Fertilizer
China,2012,597.8,Fertilizer
China,2013,313.5,Fertilizer
China,2014,445.2,Fertilizer
China,2015,433.6,Fertilizer
China,2016,420.8,Fertilizer
China,2017,515.8,Fertilizer
Canada,2000,30.9,Fertilizer
Canada,2001,24.5,Fertilizer
Canada,2002,20.1,Fertilizer
Canada,2003,46.9,Fertilizer
Canada,2004,92.1,Fertilizer
Canada,2005,94.9,Fertilizer
Canada,2006,89.2,Fertilizer
Canada,2007,149,Fertilizer
Canada,2008,629.2,Fertilizer
Canada,2009,150,Fertilizer
Canada,2010,281.8,Fertilizer
Canada,2011,703.1,Fertilizer
Canada,2012,646.7,Fertilizer
Canada,2013,566.2,Fertilizer
Canada,2014,442,Fertilizer
Canada,2015,425.7,Fertilizer
Canada,2016,311.3,Fertilizer
Canada,2017,302.3,Fertilizer
Russia Federation,2000,12.6,Fertilizer
Russia Federation,2001,30,Fertilizer
Russia Federation,2002,25.7,Fertilizer
Russia Federation,2003,21.2,Fertilizer
Russia Federation,2004,55.6,Fertilizer
Russia Federation,2005,81.3,Fertilizer
Russia Federation,2006,72,Fertilizer
Russia Federation,2007,75.6,Fertilizer
Russia Federation,2008,410.8,Fertilizer
Russia Federation,2009,81.2,Fertilizer
Russia Federation,2010,155.3,Fertilizer
Russia Federation,2011,466.5,Fertilizer
Russia Federation,2012,369.7,Fertilizer
Russia Federation,2013,76.6,Fertilizer
Russia Federation,2014,196.3,Fertilizer
Russia Federation,2015,219.8,Fertilizer
Russia Federation,2016,190.7,Fertilizer
Russia Federation,2017,249.7,Fertilizer
Malaysia,2000,21.6,Fertilizer
Malaysia,2001,12.2,Fertilizer
Malaysia,2002,14.4,Fertilizer
Malaysia,2003,21.1,Fertilizer
Malaysia,2004,42.2,Fertilizer
Malaysia,2005,23.7,Fertilizer
Malaysia,2006,34.5,Fertilizer
Malaysia,2007,66,Fertilizer
Malaysia,2008,121,Fertilizer
Malaysia,2009,40.3,Fertilizer
Malaysia,2010,71.9,Fertilizer
Malaysia,2011,99.5,Fertilizer
Malaysia,2012,113.4,Fertilizer
Malaysia,2013,131.7,Fertilizer
Malaysia,2014,132.4,Fertilizer
Malaysia,2015,132.1,Fertilizer
Malaysia,2016,94.5,Fertilizer
Malaysia,2017,99.2,Fertilizer
Norway,2000,6.8,Fertilizer
Norway,2001,7,Fertilizer
Norway,2002,8.8,Fertilizer
Norway,2003,10.6,Fertilizer
Norway,2004,23,Fertilizer
Norway,2005,21.2,Fertilizer
Norway,2006,31.7,Fertilizer
Norway,2007,32.8,Fertilizer
Norway,2008,53.1,Fertilizer
Norway,2009,26.3,Fertilizer
Norway,2010,54.1,Fertilizer
Norway,2011,67.8,Fertilizer
Norway,2012,76.6,Fertilizer
Norway,2013,47.2,Fertilizer
Norway,2014,77.2,Fertilizer
Norway,2015,73,Fertilizer
Norway,2016,45.3,Fertilizer
Norway,2017,10,Fertilizer
Australia,2000,7.4,Fertilizer
Australia,2001,14.3,Fertilizer
Australia,2002,15,Fertilizer
Australia,2003,13.9,Fertilizer
Australia,2004,10,Fertilizer
Australia,2005,40.6,Fertilizer
Australia,2006,56.9,Fertilizer
Australia,2007,61.2,Fertilizer
Australia,2008,107,Fertilizer
Australia,2009,118,Fertilizer
Australia,2010,136.4,Fertilizer
Australia,2011,129.7,Fertilizer
Australia,2012,70.3,Fertilizer
Australia,2013,39.3,Fertilizer
Australia,2014,43.1,Fertilizer
Australia,2015,61.1,Fertilizer
Australia,2016,40.3,Fertilizer
Australia,2017,37.7,Fertilizer
Germany,2000,7,Fertilizer
Germany,2001,17.8,Fertilizer
Germany,2002,13.9,Fertilizer
Germany,2003,13.4,Fertilizer
Germany,2004,11.5,Fertilizer
Germany,2005,7,Fertilizer
Germany,2006,24.5,Fertilizer
Germany,2007,33.4,Fertilizer
Germany,2008,56.2,Fertilizer
Germany,2009,77.8,Fertilizer
Germany,2010,60.3,Fertilizer
Germany,2011,73.8,Fertilizer
Germany,2012,85.1,Fertilizer
Germany,2013,72.4,Fertilizer
Germany,2014,47,Fertilizer
Germany,2015,50.6,Fertilizer
Germany,2016,33.1,Fertilizer
Germany,2017,66,Fertilizer
Jordan,2000,10.6,Fertilizer
Jordan,2001,7.6,Fertilizer
Jordan,2002,10,Fertilizer
Jordan,2003,17.3,Fertilizer
Jordan,2004,16.6,Fertilizer
Jordan,2005,12.6,Fertilizer
Jordan,2006,17.5,Fertilizer
Jordan,2007,22.1,Fertilizer
Jordan,2008,54.3,Fertilizer
Jordan,2009,38.7,Fertilizer
Jordan,2010,40.5,Fertilizer
Jordan,2011,89.1,Fertilizer
Jordan,2012,135.6,Fertilizer
Jordan,2013,157.4,Fertilizer
Jordan,2014,53.2,Fertilizer
Jordan,2015,35.6,Fertilizer
Jordan,2016,30.5,Fertilizer
Jordan,2017,59.8,Fertilizer
"Korea, Republic Of",2000,9.4,Fertilizer
"Korea, Republic Of",2001,9.8,Fertilizer
"Korea, Republic Of",2002,19.4,Fertilizer
"Korea, Republic Of",2003,16.7,Fertilizer
"Korea, Republic Of",2004,20.2,Fertilizer
"Korea, Republic Of",2005,21.2,Fertilizer
"Korea, Republic Of",2006,13.2,Fertilizer
"Korea, Republic Of",2007,12.7,Fertilizer
"Korea, Republic Of",2008,131,Fertilizer
"Korea, Republic Of",2009,14.6,Fertilizer
"Korea, Republic Of",2010,26.6,Fertilizer
"Korea, Republic Of",2011,40.7,Fertilizer
"Korea, Republic Of",2012,91.2,Fertilizer
"Korea, Republic Of",2013,66.3,Fertilizer
"Korea, Republic Of",2014,43.8,Fertilizer
"Korea, Republic Of",2015,14.3,Fertilizer
"Korea, Republic Of",2016,12.1,Fertilizer
"Korea, Republic Of",2017,11.7,Fertilizer
Japan,2000,7.3,Fertilizer
Japan,2001,5.8,Fertilizer
Japan,2002,13.8,Fertilizer
Japan,2003,6.7,Fertilizer
Japan,2004,2.4,Fertilizer
Japan,2005,4.1,Fertilizer
Japan,2006,8.2,Fertilizer
Japan,2007,7.3,Fertilizer
Japan,2008,14.7,Fertilizer
Japan,2009,2.4,Fertilizer
Japan,2010,6.5,Fertilizer
Japan,2011,22.1,Fertilizer
Japan,2012,7.1,Fertilizer
Japan,2013,7.4,Fertilizer
Japan,2014,5.9,Fertilizer
Japan,2015,2.1,Fertilizer
Japan,2016,1.5,Fertilizer
Japan,2017,1.3,Fertilizer
Thailand,2000,6.4,Fertilizer
Thailand,2001,9.3,Fertilizer
Thailand,2002,5.7,Fertilizer
Thailand,2003,9.7,Fertilizer
Thailand,2004,6.4,Fertilizer
Thailand,2005,4.9,Fertilizer
Thailand,2006,16.6,Fertilizer
Thailand,2007,13.7,Fertilizer
Thailand,2008,21.5,Fertilizer
Thailand,2009,15.2,Fertilizer
Thailand,2010,25.8,Fertilizer
Thailand,2011,34.7,Fertilizer
Thailand,2012,24.5,Fertilizer
Thailand,2013,8.9,Fertilizer
Thailand,2014,2.2,Fertilizer
Thailand,2015,0.1,Fertilizer
Thailand,2016,1.2,Fertilizer
Thailand,2017,0.5,Fertilizer
Philippines,2000,7.9,Fertilizer
Philippines,2001,6.6,Fertilizer
Philippines,2002,11.5,Fertilizer
Philippines,2003,6.7,Fertilizer
Philippines,2004,7.2,Fertilizer
Philippines,2005,13.8,Fertilizer
Philippines,2006,14.8,Fertilizer
Philippines,2007,13,Fertilizer
Philippines,2008,22.3,Fertilizer
Philippines,2009,19,Fertilizer
Philippines,2010,23.5,Fertilizer
Philippines,2011,12.1,Fertilizer
Philippines,2012,0.2,Fertilizer
Philippines,2013,3.9,Fertilizer
Philippines,2014,0.7,Fertilizer
Philippines,2015,0.6,Fertilizer
Philippines,2016,0.7,Fertilizer
Philippines,2017,1.2,Fertilizer
 Others,2000,23.7,Fertilizer
 Others,2001,25.4,Fertilizer
 Others,2002,43.5,Fertilizer
 Others,2003,17.5,Fertilizer
 Others,2004,32.8,Fertilizer
 Others,2005,50.1,Fertilizer
 Others,2006,70.2,Fertilizer
 Others,2007,136.2,Fertilizer
 Others,2008,503,Fertilizer
 Others,2009,150.8,Fertilizer
 Others,2010,358.3,Fertilizer
 Others,2011,454.1,Fertilizer
 Others,2012,401.1,Fertilizer
 Others,2013,256.8,Fertilizer
 Others,2014,333.1,Fertilizer
 Others,2015,337.5,Fertilizer
 Others,2016,240.5,Fertilizer
 Others,2017,352.3,Fertilizer
China,2010,369.5927,Fruits
China,2011,411.5738,Fruits
China,2012,409.7379,Fruits
China,2013,330.7103,Fruits
China,2014,344.7793,Fruits
China,2015,279.2896,Fruits
China,2016,341.8639,Fruits
China,2017,564.379,Fruits
United States,2010,79.0121,Fruits
United States,2011,89.2684,Fruits
United States,2012,88.3062,Fruits
United States,2013,103.9541,Fruits
United States,2014,132.6758,Fruits
United States,2015,106.7028,Fruits
United States,2016,141.6703,Fruits
United States,2017,116.2266,Fruits
Thailand,2010,99.0716,Fruits
Thailand,2011,150.9059,Fruits
Thailand,2012,169.3086,Fruits
Thailand,2013,75.4442,Fruits
Thailand,2014,103.0278,Fruits
Thailand,2015,72.6649,Fruits
Thailand,2016,93.0355,Fruits
Thailand,2017,157.7702,Fruits
Australia,2010,19.4667,Fruits
Australia,2011,21.0397,Fruits
Australia,2012,30.3851,Fruits
Australia,2013,46.04,Fruits
Australia,2014,49.6973,Fruits
Australia,2015,66.2975,Fruits
Australia,2016,85.3146,Fruits
Australia,2017,89.2126,Fruits
